Maxdepth,Maxfeatures,Minsamplesperleaf,Minsamplespersplit,MMRE-
1,0.78,1,17,4.585303963033664
1,0.78,1,21,3.94738859076666
1,0.78,4,2,3.938716972079412
1,0.78,4,7,3.94738859076666
1,0.78,4,12,3.938716972079412
1,0.78,4,17,3.938716972079412
1,0.78,4,21,3.938716972079412
1,0.78,7,2,3.556891133247257
1,0.78,7,7,3.556891133247257
1,0.78,7,12,3.556891133247257
1,0.78,7,17,3.556891133247257
1,0.78,7,21,3.556891133247257
1,0.78,10,2,3.1347862451041872
1,0.78,10,7,3.074232717767688
1,0.78,10,12,3.1347862451041872
1,0.78,10,17,3.1347862451041872
1,0.78,10,21,3.1347862451041872
1,0.78,12,2,3.1347862451041872
1,0.78,12,7,3.1347862451041872
1,0.78,12,12,3.1347862451041872
1,0.78,12,17,3.1347862451041872
1,0.78,12,21,3.07365505874361
1,0.89,1,2,3.938716972079412
1,0.89,1,7,3.938716972079412
1,0.89,1,12,3.938716972079412
1,0.89,1,17,3.938716972079412
1,0.89,1,21,3.938716972079412
1,0.89,4,2,3.938716972079412
1,0.89,4,7,3.938716972079412
1,0.89,4,12,3.938716972079412
1,0.89,4,17,3.938716972079412
1,0.89,4,21,3.938716972079412
1,0.89,7,2,3.556891133247257
1,0.89,7,7,3.556891133247257
1,0.89,7,12,3.556891133247257
1,0.89,7,17,3.556891133247257
1,0.89,7,21,3.556891133247257
1,0.89,10,2,3.1347862451041872
1,0.89,10,7,3.1347862451041872
1,0.89,10,12,3.1347862451041872
1,0.89,10,17,3.1347862451041872
1,0.89,10,21,3.1347862451041872
1,0.89,12,2,3.1347862451041872
1,0.89,12,7,3.1347862451041872
1,0.89,12,12,3.1347862451041872
1,0.89,12,17,3.1347862451041872
1,0.89,12,21,3.1347862451041872
1,1.0,1,2,3.938716972079412
1,1.0,1,7,3.938716972079412
1,1.0,1,12,3.938716972079412
1,1.0,1,17,3.938716972079412
1,1.0,1,21,3.938716972079412
1,1.0,4,2,3.938716972079412
1,1.0,4,7,3.938716972079412
1,1.0,4,12,3.938716972079412
1,1.0,4,17,3.938716972079412
1,1.0,4,21,3.938716972079412
1,1.0,7,2,3.556891133247257
1,1.0,7,7,3.556891133247257
1,1.0,7,12,3.556891133247257
1,1.0,7,17,3.556891133247257
1,1.0,7,21,3.556891133247257
1,1.0,10,2,3.1347862451041872
1,1.0,10,7,3.1347862451041872
1,1.0,10,12,3.1347862451041872
1,1.0,10,17,3.1347862451041872
1,1.0,10,21,3.1347862451041872
1,1.0,12,2,3.1347862451041872
1,1.0,12,7,3.1347862451041872
